# License GPL
#
# - modified hankaku kana to zenkaku kana
# - added basic japanese letters
# by M.Ohtsuka(mash)
# 
# Modified by mattn

##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

Yields,Yields,イールズ,カスタム名詞
Yielding,Yielding,イールディング,カスタム名詞
Yielded,Yielded,イールディド,カスタム名詞
Yield,Yield,イールド,カスタム名詞
Yiddishes,Yiddishes,イディッシュズ,カスタム名詞
Yiddish,Yiddish,イディッシュ,カスタム名詞
Yhwh,Yhwh,ヤーウェイ,カスタム名詞
Yhvh,Yhvh,ヤーウェイ,カスタム名詞
Yevgeny,Yevgeny,エフゲニー,カスタム名詞
Yet,Yet,イェット,カスタム名詞
Yesteryear,Yesteryear,イエスタイヤー,カスタム名詞
Yesterday,Yesterday,イエスタデイ,カスタム名詞
Yester,Yester,イエスター,カスタム名詞
Yesalis,Yesalis,イエサリス,カスタム名詞
Yes,Yes,イエス,カスタム名詞
Yertle,Yertle,ヤートゥル,カスタム名詞
Yerking,Yerking,ヤーキング,カスタム名詞
Yerked,Yerked,ヤークト,カスタム名詞
Yerk'd,Yerk'd,ヤークト,カスタム名詞
Yerk,Yerk,ヤーク,カスタム名詞
Yergason,Yergason,ヤーガソン,カスタム名詞
Yerevan,Yerevan,イエレバン,カスタム名詞
Yep,Yep,イエップ,カスタム名詞
Yeomen,Yeomen,ヨーメン,カスタム名詞
Yeomanry,Yeomanry,ヨーマンリイ,カスタム名詞
Yeoman,Yeoman,ヨーマン,カスタム名詞
Yen,Yen,イェン,カスタム名詞
Yemenite,Yemenite,イェーメニティー,カスタム名詞
Yemeni,Yemeni,イェーメニー,カスタム名詞
Yemen,Yemen,イェーメン,カスタム名詞
Yeltsin,Yeltsin,ェリツィン,カスタム名詞
Yelping,Yelping,イェルピング,カスタム名詞
Yelped,Yelped,イェルプト,カスタム名詞
Yelp,Yelp,イェルプ,カスタム名詞
Yellowish,Yellowish,イェロウイッシュ,カスタム名詞
Yellowest,Yellowest,イェロウエスト,カスタム名詞
Yellower,Yellower,イェロウアー,カスタム名詞
Yellow,Yellow,イェロー,カスタム名詞
Yelling,Yelling,イェリング,カスタム名詞
Yell,Yell,イェル,カスタム名詞
Yehliu,Yehliu,イェーリュー,カスタム名詞
Yegor,Yegor,エゴル,カスタム名詞
Yeats,Yeats,イーツ,カスタム名詞
Yeasty,Yeasty,イースティー,カスタム名詞
Yeast,Yeast,イースト,カスタム名詞
Yearning,Yearning,ヤーニング,カスタム名詞
Yearn,Yearn,ヤーン,カスタム名詞
Yearly,Yearly,イヤリー,カスタム名詞
Yearling,Yearling,イアーリング,カスタム名詞
Year,Year,イヤー,カスタム名詞
Yeah,Yeah,ヤー,カスタム名詞
Yawp,Yawp,ヨープ,カスタム名詞
Yawning,Yawning,ヨーニング,カスタム名詞
Yawn,Yawn,ヨーン,カスタム名詞
Yawling,Yawling,ヨーリング,カスタム名詞
Yawl,Yawl,ヨール,カスタム名詞
Yatiyo,Yatiyo,ヤチヨ,カスタム名詞
Yasser,Yasser,ヤッサー,カスタム名詞
Yars,Yars,ヤーズ,カスタム名詞
Yarning,Yarning,ヤーニング,カスタム名詞
Yarn,Yarn,ヤーン,カスタム名詞
Yardstick,Yardstick,ヤードゥスティック,カスタム名詞
Yards,Yards,ヤーズ,カスタム名詞
Yardeni,Yardeni,ヤーデニイ,カスタム名詞
Yard,Yard,ヤード,カスタム名詞
Yarber,Yarber,ヤーバー,カスタム名詞
Yap,Yap,ヤップ,カスタム名詞
Yao,Yao,ヤオ,カスタム名詞
Yanqui,Yanqui,ヤンキー,カスタム名詞
Yanking,Yanking,ヤンキング,カスタム名詞
Yankelovich,Yankelovich,ヤンケロビッチ,カスタム名詞
Yankee,Yankee,ヤンキー,カスタム名詞
Yanked,Yanked,ヤンクト,カスタム名詞
Yank,Yank,ヤンク,カスタム名詞
Yangtze,Yangtze,ヤンツ,カスタム名詞
Yang,Yang,ヤン,カスタム名詞
Yan,Yan,ヤン,カスタム名詞
Yammer,Yammer,ヤマー,カスタム名詞
Yam,Yam,ヤム,カスタム名詞
Yale,Yale,イェイル,カスタム名詞
Yahweh,Yahweh,ヤーウェイ,カスタム名詞
Yahwe,Yahwe,ヤーウェイ,カスタム名詞
Yahoo,Yahoo,ヤフー,カスタム名詞
Yachtsman,Yachtsman,ヨットゥマン,カスタム名詞
Yacht,Yacht,ヨット,カスタム名詞
Yacc,Yacc,ヤック,カスタム名詞
Ya,Ya,ヤ,カスタム名詞
Y,Y,ワイ,カスタム名詞
Xylose,Xylose,ザイロウス,カスタム名詞
Xylophone,Xylophone,ザイロフォン,カスタム名詞
Xylograph,Xylograph,ザイログラフ,カスタム名詞
Xylitol,Xylitol,ザイラトール,カスタム名詞
Xylene,Xylene,ザイリーン,カスタム名詞
Xu,Xu,スー,カスタム名詞
Xtrs,Xtrs,エックスティーアールエス,カスタム名詞
Xtract,Xtract,エックストゥラクト,カスタム名詞
Xtr,Xtr,エックスティーアール,カスタム名詞
Xset,Xset,エックスセット,カスタム名詞
Xref,Xref,クロスレフ,カスタム名詞
Xpspath,Xpspath,エックスピーエスパス,カスタム名詞
Xplora,Xplora,エクスプローラ,カスタム名詞
Xmodem,Xmodem,エックスモデム,カスタム名詞
Xmas,Xmas,クリスマス,カスタム名詞
Xlist,Xlist,エックスリスト,カスタム名詞
Xircom,Xircom,ザーコム,カスタム名詞
Xinhua,Xinhua,シンホワー,カスタム名詞
Xing,Xing,クロシング,カスタム名詞
Xerox,Xerox,ゼロックス,カスタム名詞
Xenotransplant,Xenotransplant,ゼノトゥランスプラント,カスタム名詞
Xenophobic,Xenophobic,ゼノフォウビク,カスタム名詞
Xenon,Xenon,ゼノン,カスタム名詞
Xenix,Xenix,ゼニックス,カスタム名詞
Xemacs,Xemacs,エクスイマックス,カスタム名詞
Xelvis,Xelvis,ゼルビス,カスタム名詞
Xcopy,Xcopy,エックスコピー,カスタム名詞
Xavier,Xavier,ゼイビア,カスタム名詞
Xanthophyll,Xanthophyll,キサントフィル,カスタム名詞
Xanax,Xanax,ザナックス,カスタム名詞
Xanadu,Xanadu,ザナデュー,カスタム名詞
X,X,エックス,カスタム名詞
Wyss,Wyss,ビース,カスタム名詞
Wysiwyg,Wysiwyg,ウィジウィグ,カスタム名詞
Wyoming,Wyoming,ワイオミング,カスタム名詞
Wynette,Wynette,ウィネット,カスタム名詞
Wyeth,Wyeth,ワイアス,カスタム名詞
Wye,Wye,ワイ,カスタム名詞
